event_date,ticker,predicted_percentile,realized_percentile,earnings_surprise_pct,car1_pct,status,rules_applied,expected_abnormal_return_pct,confidence,prompt_version
2026-08-11,RKLB,0.95,0.5,0.0,0.2,scored,,,,
2026-08-11,RPAY,0.8,0.34,0.0,-3.1,scored,,,,
2026-08-11,RPD,0.85,0.92,1.21,15.5,scored,,,,
2026-08-11,RUM,0.96,0.88,-2.9,11.7,scored,,,,
2026-08-11,RXT,0.95,0.18,0.21,-7.8,scored,,,,
2026-08-11,SHIM,0.95,0.23,0.48,-5.9,scored,,,,
2026-08-11,SMC,0.36,0.85,1.48,9.2,scored,,,,
2026-08-11,SRFM,0.94,0.23,-14.11,-5.7,scored,,,,
2026-08-11,STIM,0.91,1.0,3.23,47.3,scored,,,,
2026-08-11,TCMD,0.19,0.07,0.62,-16.9,scored,,,,
2026-08-11,TELA,0.07,0.08,-2.15,-14.8,scored,,,,
2026-08-11,TISI,0.22,0.99,,37.5,missing_data,,,,
2026-08-11,TONX,0.94,0.5,86.56,0.3,scored,,,,
2026-08-11,TTEC,0.12,0.02,-8.15,-25.5,scored,,,,
2026-08-11,UPWK,0.12,0.08,0.71,-14.7,scored,,,,
2026-08-11,WBTN,0.12,0.22,0.32,-6.6,scored,,,,
2026-08-11,XTNT,0.07,0.02,-2.24,-28.0,scored,,,,
2026-08-12,ABSI,0.88,0.53,-0.21,0.6,scored,,,,
2026-08-12,BEEP,0.67,0.5,0.0,0.1,scored,,,,
2026-08-12,BGS,0.5,0.73,0.29,4.7,scored,,,,
2026-08-12,CDXS,0.89,0.82,0.0,7.8,scored,,,,
2026-08-12,GRWG,0.83,0.94,0.0,19.2,scored,,,,
2026-08-12,IPM,0.15,0.46,-6.25,-0.6,scored,,,,
2026-08-12,IZEA,0.14,0.09,-0.56,-14.3,scored,,,,
2026-08-12,LENZ,0.12,0.32,1.54,-3.6,scored,,,,
2026-08-12,PRSO,0.06,0.27,-4.18,-4.6,scored,,,,
2026-08-12,PXLW,0.89,0.86,-3.65,10.2,scored,,,,
2026-08-12,RDNW,0.22,0.36,0.61,-2.6,scored,,,,
2026-08-12,SEER,0.9,0.43,-2.78,-1.2,scored,,,,
2026-08-12,SINT,0.76,0.12,-1.69,-11.6,scored,,,,
2026-08-12,SNAL,0.17,0.0,-14.6,-36.9,scored,,,,
2026-08-12,STXS,0.92,0.28,-0.68,-4.4,scored,,,,
2026-08-12,TACT,0.85,0.17,0.17,-8.4,scored,,,,
