ticker,industry
CWD,Other Financial Services
NKTR,Pharmaceuticals and Biotechnology
AEMD,Healthcare Devices and Supplies
KLC,Services (Non-Financial)
BLNE,Consumer Non-Durables
ALBT,Pharmaceuticals and Biotechnology
OKUR,Pharmaceuticals and Biotechnology
PMCB,Pharmaceuticals and Biotechnology
NXTT,IT Services
GOCO,Insurance
LPCN,Pharmaceuticals and Biotechnology
IDYA,Pharmaceuticals and Biotechnology
FULC,Pharmaceuticals and Biotechnology
ACXP,Pharmaceuticals and Biotechnology
TRNR,Consumer Durables
FOLD,Pharmaceuticals and Biotechnology
RYM,Consumer Non-Durables
BEAM,Pharmaceuticals and Biotechnology
LNZA,Chemicals and Gases
OCUL,Pharmaceuticals and Biotechnology
OGN,Pharmaceuticals and Biotechnology
GBTG,Transportation
IBRX,Pharmaceuticals and Biotechnology
SLE,Restaurants, Hotels and Leisure
NVCT,Pharmaceuticals and Biotechnology
WMK,Restaurants, Hotels and Leisure
OTLK,Pharmaceuticals and Biotechnology
PAVM,Healthcare Devices and Supplies
DSGN,Pharmaceuticals and Biotechnology
DTST,IT Services
NPK,Commercial Products
PSNL,Healthcare Devices and Supplies
PBFS,Commercial Banks
NWTG,Consumer Durables
ORIC,Pharmaceuticals and Biotechnology
KROS,Pharmaceuticals and Biotechnology
SYRE,Pharmaceuticals and Biotechnology
SEB,Agriculture
DNTH,Pharmaceuticals and Biotechnology
BRFH,Consumer Non-Durables
SCCO,Metals, Minerals and Mining
PAMT,Commercial Transportation
STEX,Capital Markets/Institutions
IMA,Pharmaceuticals and Biotechnology
FGBI,Commercial Banks
HCWB,Pharmaceuticals and Biotechnology
HIND,Pharmaceuticals and Biotechnology
TVRD,Pharmaceuticals and Biotechnology
FBLA,Commercial Banks
ZEO,Commercial Products
ATXG,Commercial Services
PHGE,Pharmaceuticals and Biotechnology
EVTV,Consumer Durables
SHPH,Pharmaceuticals and Biotechnology
QXO,IT Services
STTK,Pharmaceuticals and Biotechnology
TIL,Pharmaceuticals and Biotechnology
BRN,Exploration, Production and Refining
DDS,Retail
SGMT,Pharmaceuticals and Biotechnology
UNCY,Pharmaceuticals and Biotechnology
SNGX,Pharmaceuticals and Biotechnology
LRMR,Pharmaceuticals and Biotechnology
PDSB,Pharmaceuticals and Biotechnology
AIRE,Other Financial Services
PRLD,Pharmaceuticals and Biotechnology
EDBL,Agriculture
TRAW,Pharmaceuticals and Biotechnology
ISPC,Pharmaceuticals and Biotechnology
NMTC,Healthcare Devices and Supplies
MSGE,Restaurants, Hotels and Leisure
XLO,Pharmaceuticals and Biotechnology
GRI,Pharmaceuticals and Biotechnology
LXEO,Pharmaceuticals and Biotechnology
CREG,Commercial Services
SMTI,Commercial Products
AIRI,Commercial Services
XOMA,Pharmaceuticals and Biotechnology
AURA,Pharmaceuticals and Biotechnology
XELB,Other Business Products and Services
BIAF,Pharmaceuticals and Biotechnology
INDP,Pharmaceuticals and Biotechnology
PRPH,Pharmaceuticals and Biotechnology
CLNN,Pharmaceuticals and Biotechnology
ARTL,Pharmaceuticals and Biotechnology
COCP,Pharmaceuticals and Biotechnology
KLRS,Pharmaceuticals and Biotechnology
ANNX,Pharmaceuticals and Biotechnology
HTCR,IT Services
FBYD,Restaurants, Hotels and Leisure
NRXP,Pharmaceuticals and Biotechnology
VRME,IT Services
VS,IT Services
SVRA,Pharmaceuticals and Biotechnology
CSPI,IT Services
ONCO,Pharmaceuticals and Biotechnology
GALT,Pharmaceuticals and Biotechnology
SNYR,Pharmaceuticals and Biotechnology
ADGM,Healthcare Devices and Supplies
SOAR,Transportation
LIQT,Commercial Products
GIFT,Retail
JAGX,Pharmaceuticals and Biotechnology
OVID,Pharmaceuticals and Biotechnology
XBIO,Pharmaceuticals and Biotechnology
YYAI,Consumer Durables
CADL,Pharmaceuticals and Biotechnology
SMID,Construction (Non-Wood)
ELAB,Pharmaceuticals and Biotechnology
SOWG,Consumer Non-Durables
ENVB,Pharmaceuticals and Biotechnology
AMZE,Consumer Non-Durables
MSS,Restaurants, Hotels and Leisure
BKYI,Software
MYSZ,Software
TOON,Media
ONFO,IT Services
IPDN,IT Services
RDI,Media
DWTX,Pharmaceuticals and Biotechnology
LINK,Computer Hardware
NEON,Commercial Products
ILLR,Capital Markets/Institutions
ATPC,Healthcare Services
IBO,Pharmaceuticals and Biotechnology
COSM,Pharmaceuticals and Biotechnology
WORX,Restaurants, Hotels and Leisure
CARV,Commercial Banks
ACON,Healthcare Devices and Supplies
BINI,Consumer Durables
CISO,Commercial Services
KTTA,Pharmaceuticals and Biotechnology
MGRX,Other Healthcare
XWEL,Services (Non-Financial)
RNTX,Pharmaceuticals and Biotechnology
BOLT,Pharmaceuticals and Biotechnology
HSDT,Healthcare Devices and Supplies
GURE,Chemicals and Gases
OSTX,Pharmaceuticals and Biotechnology
OMER,Pharmaceuticals and Biotechnology
FFAI,Consumer Durables
AIFF,Software
VGAS,Chemicals and Gases
CPHI,Pharmaceuticals and Biotechnology
XPON,Commercial Products
SILO,Apparel and Accessories
BTCS,Other Financial Services
ANRO,Pharmaceuticals and Biotechnology
AMPG,Communications and Networking
HURA,Pharmaceuticals and Biotechnology
MYSE,Software
HCTI,IT Services
DC,Metals, Minerals and Mining
JSPR,Pharmaceuticals and Biotechnology
TYRA,Pharmaceuticals and Biotechnology
PNBK,Commercial Banks
FIEE,Communications and Networking
ORMP,Pharmaceuticals and Biotechnology
LTRN,Pharmaceuticals and Biotechnology
ACTU,Pharmaceuticals and Biotechnology
SCLX,Pharmaceuticals and Biotechnology
AIRJ,Commercial Products
TELO,Pharmaceuticals and Biotechnology
MGNX,Pharmaceuticals and Biotechnology
MSN,Consumer Durables
ONMD,Pharmaceuticals and Biotechnology
ORGN,Chemicals and Gases
IOBT,Pharmaceuticals and Biotechnology
YHGJ,Chemicals and Gases
BGLC,Healthcare Devices and Supplies
MIRA,Pharmaceuticals and Biotechnology
ASPI,Chemicals and Gases
ANNA,Exploration, Production and Refining
ITP,Containers and Packaging
NVVE,Commercial Products
TOMZ,Chemicals and Gases
AUID,Software
MODD,Healthcare Devices and Supplies
ALMS,Pharmaceuticals and Biotechnology
BOC,Other Financial Services
VANI,Healthcare Devices and Supplies
LASE,Commercial Products
SIDU,Communications and Networking
ASNS,Communications and Networking
PYXS,Pharmaceuticals and Biotechnology
ACRV,Pharmaceuticals and Biotechnology
AIRT,Commercial Transportation
CDZI,Utilities
BBLG,Commercial Products
IPSC,Pharmaceuticals and Biotechnology
ELVN,Pharmaceuticals and Biotechnology
EQ,Pharmaceuticals and Biotechnology
NERV,Pharmaceuticals and Biotechnology
PSTV,Healthcare Devices and Supplies
DSS,Containers and Packaging
SPAI,Commercial Products
JOB,Commercial Services
CAMP,Pharmaceuticals and Biotechnology
INBX,Pharmaceuticals and Biotechnology
PRPO,Healthcare Devices and Supplies
ADIL,Pharmaceuticals and Biotechnology
NDRA,Healthcare Devices and Supplies
RVPH,Pharmaceuticals and Biotechnology
FBRX,Pharmaceuticals and Biotechnology
ELDN,Pharmaceuticals and Biotechnology
AEI,Other Financial Services
POLA,Commercial Products
IKT,Pharmaceuticals and Biotechnology
SDOT,Restaurants, Hotels and Leisure
RVP,Healthcare Devices and Supplies
GCTK,Healthcare Devices and Supplies
GXAI,Software
BLIN,Software
CNET,IT Services
REBN,Restaurants, Hotels and Leisure
SCYX,Pharmaceuticals and Biotechnology
CETX,Commercial Products
ABVC,Pharmaceuticals and Biotechnology
NIXX,IT Services
ENSC,Pharmaceuticals and Biotechnology
ATER,Consumer Durables
TVGN,Pharmaceuticals and Biotechnology
IRD,Pharmaceuticals and Biotechnology
NUAI,IT Services
NSTS,Commercial Banks
RKDA,Agriculture
ZSPC,Software
LGL,Commercial Products
CDIO,Healthcare Devices and Supplies
IVVD,Pharmaceuticals and Biotechnology
PMNT,Apparel and Accessories
GTBP,Pharmaceuticals and Biotechnology
FBIO,Pharmaceuticals and Biotechnology
MAMO,Consumer Durables
IDAI,Software
BEEM,Semiconductors
LUCY,Healthcare Devices and Supplies
IMRX,Pharmaceuticals and Biotechnology
BGMS,Commercial Products
SIF,Commercial Products
TCRT,Pharmaceuticals and Biotechnology
KORE,Communications and Networking
TAOX,Capital Markets/Institutions
SURG,Media
ERNA,Pharmaceuticals and Biotechnology
IVDA,Software
BNZI,Software
AIMD,Pharmaceuticals and Biotechnology
PHIO,Pharmaceuticals and Biotechnology
PLAG,Consumer Non-Durables
EONR,Exploration, Production and Refining
LRHC,Other Financial Services
JBIO,Pharmaceuticals and Biotechnology
KOD,Pharmaceuticals and Biotechnology
YCBD,Consumer Non-Durables
STRT,Consumer Durables
VNRX,Healthcare Devices and Supplies
PPSI,Commercial Products
MSGM,Software
SXTP,Pharmaceuticals and Biotechnology
FLYX,Transportation
FLXS,Consumer Durables
ADTX,Pharmaceuticals and Biotechnology
NCRA,Agriculture
GLSI,Pharmaceuticals and Biotechnology
GNPX,Pharmaceuticals and Biotechnology
MNOV,Pharmaceuticals and Biotechnology
CNSP,Pharmaceuticals and Biotechnology
DJCO,Media
SKYQ,Commercial Services
DRMA,Pharmaceuticals and Biotechnology
SHFS,Other Financial Services
BCG,Other Financial Services
IPST,Capital Markets/Institutions
CDT,Pharmaceuticals and Biotechnology
BOF,Consumer Non-Durables
NXXT,Retail
BOXL,Other Information Technology
AMIX,Healthcare Devices and Supplies
MRKR,Pharmaceuticals and Biotechnology
CLRO,Communications and Networking
BFRG,Pharmaceuticals and Biotechnology
HCWC,Restaurants, Hotels and Leisure
GNLN,Consumer Durables
MLP,Other Financial Services
SMXT,Construction (Non-Wood)
SUNE,Communications and Networking
SDST,Chemicals and Gases
MOBX,Semiconductors
UPB,Pharmaceuticals and Biotechnology
FGNX,Capital Markets/Institutions
PROK,Pharmaceuticals and Biotechnology
IGC,Pharmaceuticals and Biotechnology
REVB,Pharmaceuticals and Biotechnology
SNBR,Consumer Durables
CAAS,Consumer Durables
FCUV,Commercial Products
VRDN,Healthcare Devices and Supplies
NUVL,Pharmaceuticals and Biotechnology
AREC,Other Energy
CBAT,Commercial Products
NATH,Restaurants, Hotels and Leisure
RMCO,Other Business Products and Services
WWR,Metals, Minerals and Mining
MBX,Pharmaceuticals and Biotechnology
CYCN,Pharmaceuticals and Biotechnology
GTLS,Commercial Products
TECH,Pharmaceuticals and Biotechnology
EEX,Commercial Services
NAKA,Capital Markets/Institutions
XFOR,Pharmaceuticals and Biotechnology
OLPX,Consumer Non-Durables
ESPR,Pharmaceuticals and Biotechnology
KPRX,Pharmaceuticals and Biotechnology
AMOD,Other Business Products and Services
HD,Retail
UTZ,Consumer Non-Durables
TMHC,Consumer Durables
ASST,Software
JUNS,Pharmaceuticals and Biotechnology
FERG,Other Business Products and Services
AREB,Other Materials
CETY,Commercial Products
NHC,Healthcare Services
MSPR,IT Services
IMUX,Pharmaceuticals and Biotechnology
CCO,Media
QTTB,Pharmaceuticals and Biotechnology
ESLA,Pharmaceuticals and Biotechnology
IDR,Metals, Minerals and Mining
EP,Exploration, Production and Refining
NSPR,Healthcare Devices and Supplies
SLAB,Semiconductors
KRRO,Pharmaceuticals and Biotechnology
AIHS,Other Financial Services
VERA,Pharmaceuticals and Biotechnology
BTAI,Pharmaceuticals and Biotechnology
MCRB,Pharmaceuticals and Biotechnology
ACHV,Healthcare Devices and Supplies
GLUE,Pharmaceuticals and Biotechnology
ZENA,Software
CALC,Pharmaceuticals and Biotechnology
SEGG,Restaurants, Hotels and Leisure
SOC,Exploration, Production and Refining
ZBIO,Pharmaceuticals and Biotechnology
AMR,Other Energy
EYPT,Healthcare Devices and Supplies
SEGG,Restaurants, Hotels and Leisure
SEE,Chemicals and Gases
MSGS,Restaurants, Hotels and Leisure
CLYM,Pharmaceuticals and Biotechnology
MAIA,Pharmaceuticals and Biotechnology
GENC,Commercial Products
TCRX,Pharmaceuticals and Biotechnology
KPTI,Pharmaceuticals and Biotechnology
AVXL,Pharmaceuticals and Biotechnology
CABA,Pharmaceuticals and Biotechnology
RNAC,Pharmaceuticals and Biotechnology
IRBT,Consumer Durables
GANX,Pharmaceuticals and Biotechnology
FHTX,Pharmaceuticals and Biotechnology
TTSH,Consumer Durables
BOLD,Pharmaceuticals and Biotechnology
ANVS,Pharmaceuticals and Biotechnology
SYPR,Commercial Products
HYFM,Other Consumer Products and Services
CGEM,Pharmaceuticals and Biotechnology
ACET,Pharmaceuticals and Biotechnology
ACRS,Pharmaceuticals and Biotechnology
TRDA,Pharmaceuticals and Biotechnology
IMKTA,Restaurants, Hotels and Leisure
AVNS,Commercial Products
SYBX,Pharmaceuticals and Biotechnology
CCCC,Pharmaceuticals and Biotechnology
HUMA,Pharmaceuticals and Biotechnology
TTSH,Consumer Durables
BDTX,Pharmaceuticals and Biotechnology
PASG,Pharmaceuticals and Biotechnology
RAPP,Pharmaceuticals and Biotechnology
TNGX,Pharmaceuticals and Biotechnology
APGE,Pharmaceuticals and Biotechnology
CGTX,Pharmaceuticals and Biotechnology
AVTX,Pharmaceuticals and Biotechnology
BURU,Commercial Products
CTGO,Metals, Minerals and Mining
COGT,Pharmaceuticals and Biotechnology
CGON,Pharmaceuticals and Biotechnology
FEMY,Healthcare Devices and Supplies
MTVA,Pharmaceuticals and Biotechnology
RLYB,Pharmaceuticals and Biotechnology
CMPX,Pharmaceuticals and Biotechnology
COYA,Pharmaceuticals and Biotechnology
APVO,Pharmaceuticals and Biotechnology
PMVP,Pharmaceuticals and Biotechnology
ATOS,Pharmaceuticals and Biotechnology
TALK,Healthcare Services
ATLX,Metals, Minerals and Mining
CVKD,Pharmaceuticals and Biotechnology
APRE,Pharmaceuticals and Biotechnology
COCH,Commercial Products
UAVS,Commercial Products
CRIS,Pharmaceuticals and Biotechnology
BTM,Other Financial Services
HOUR,Retail
AQB,Consumer Non-Durables
OMEX,Commercial Transportation
TARA,Pharmaceuticals and Biotechnology
XPL,Metals, Minerals and Mining
MNPR,Pharmaceuticals and Biotechnology
TRON,Consumer Durables
FSEA,Commercial Banks
EWTX,Pharmaceuticals and Biotechnology
FDMT,Pharmaceuticals and Biotechnology
STRS,Consumer Durables
KOPN,Semiconductors
VEEE,Commercial Transportation
SCNX,Pharmaceuticals and Biotechnology
ITIC,Insurance
PEPG,Pharmaceuticals and Biotechnology
AVBP,Pharmaceuticals and Biotechnology
CRBP,Pharmaceuticals and Biotechnology
BTM,Other Financial Services
EMPD,Capital Markets/Institutions
SNTI,Pharmaceuticals and Biotechnology
KALA,Pharmaceuticals and Biotechnology
CING,Pharmaceuticals and Biotechnology
EONR,Exploration, Production and Refining
PRME,Pharmaceuticals and Biotechnology
TAYD,Commercial Products
REPL,Pharmaceuticals and Biotechnology
INBS,Healthcare Devices and Supplies
VEEA,Other Financial Services
ORKA,Healthcare Devices and Supplies
WHWK,Pharmaceuticals and Biotechnology
UPLD,Software
BINI,Consumer Durables
PULM,Pharmaceuticals and Biotechnology
CRVO,Pharmaceuticals and Biotechnology
YORW,Utilities
MDIA,Media
ELAB,Pharmaceuticals and Biotechnology
PCSA,Pharmaceuticals and Biotechnology
APT,Commercial Products
UG,Consumer Non-Durables
GRNQ,IT Services
JTAI,Transportation
YHC,Consumer Non-Durables
CERO,Pharmaceuticals and Biotechnology
MGEE,Utilities
EFOI,Commercial Products
CKX,Exploration, Production and Refining
AAME,Insurance
AAME,Insurance
NXL,Healthcare Devices and Supplies
IBOC,Commercial Banks
SOBR,Media
KAPA,Pharmaceuticals and Biotechnology
DTSS,Software
PTIX,Pharmaceuticals and Biotechnology
GSAT,Communications and Networking
INVA,Pharmaceuticals and Biotechnology
ITP,Containers and Packaging
NMRA,Pharmaceuticals and Biotechnology
AREC,Other Energy
VIVS,Pharmaceuticals and Biotechnology
MDCX,Pharmaceuticals and Biotechnology
SKYE,Pharmaceuticals and Biotechnology
TXMD,Pharmaceuticals and Biotechnology
CIA,Insurance
ALEC,Pharmaceuticals and Biotechnology
MBOT,Pharmaceuticals and Biotechnology
SRZN,Pharmaceuticals and Biotechnology
ARTV,Pharmaceuticals and Biotechnology
JANX,Pharmaceuticals and Biotechnology
HNNA,Capital Markets/Institutions
XCUR,Pharmaceuticals and Biotechnology
PCVX,Pharmaceuticals and Biotechnology
SANA,Pharmaceuticals and Biotechnology
NGNE,Pharmaceuticals and Biotechnology
CLDX,Healthcare Devices and Supplies
MCHP,Semiconductors
KLXE,Energy Services
IE,Metals, Minerals and Mining
TISI,Services (Non-Financial)
ASRT,Pharmaceuticals and Biotechnology
MYPS,Software
SENEA,Consumer Non-Durables
ONTF,Software
EDIT,Pharmaceuticals and Biotechnology
BDL,Restaurants, Hotels and Leisure
FATE,Pharmaceuticals and Biotechnology
SSTI,Software
FTHM,Other Financial Services
TPST,Pharmaceuticals and Biotechnology
AISP,Software
GOSS,Pharmaceuticals and Biotechnology
CNTX,Pharmaceuticals and Biotechnology
GDOT,Other Financial Services
SND,Metals, Minerals and Mining
BHF,Insurance
DWSN,Exploration, Production and Refining
ELTX,Pharmaceuticals and Biotechnology
HUBG,Exploration, Production and Refining
GURE,Chemicals and Gases
BRTX,Healthcare Services
ALDX,Pharmaceuticals and Biotechnology
NKTX,Pharmaceuticals and Biotechnology
RCKT,Pharmaceuticals and Biotechnology
